likes,body,url
8,"«В гостях без каски»: в соцсети пройдут интерактивные трансляции с Красноярских ТЭЦ 

Первая трансляция с Красноярской ТЭЦ-1 прошла уже сегодня. 

Работники теплоэлектроцентрали начали свой рассказ от контрольно-пропускного пункта, дошли до новой дымовой трубы и рассказали про модернизацию станции, которая, продолжается и сейчас, затем показали, как выглядит первая турбина в турбинном цехе и зашли и на главный щит управления станцией.

При этом красноярцы могли сами выстраивать маршрут, например, просить показать еще какие-либо детали или территорию станции, а также задавать вопросы в комментариях.

📍 Подобные рассказы от сотрудников станции пройдут на ТЭЦ-2 и ТЭЦ-3. Даты уточняются, анонсы будут размещены позже",https://sun1-14.userapi.com/MNt98iCy7Z3wKvLvz9DZAtv3h4UA6Zf-2Ih1DQ/wU-hVHd7Nlk.jpg
3,"СГК запустила новый онлайн-проект в самоизоляции

Первым гостем шоу «Интервью на троих» стал директор Красноярской ТЭЦ-2 Олег Бубновский. Он рассказал, как работает станция в режиме самоизоляции, как общаются между собой сотрудники на предприятии. 

А также ответил на актуальные вопросы: будут ли проводиться ремонты для подготовки к зиме, есть ли сбои с поставками оборудования, будут ли отключать горячую воду летом и как не сойти с ума в режиме самоизоляции, сидя дома.",none
14,"Немного о последствиях вчерашней погодной вакханалии ⚡

Ветер был такой силы, что не выдерживали даже многолетние деревья, что уж говорить о известных ""прочных"" автобусных остановках нашего города. 

Надеемся, что Фольксваген не особо пострадал, а то жалко же ж 🚗

📍Кстати, май тоже ожидается дождливым и ветреным. Прогноз на предстоящий месяц можно глянуть вот здесь: https://newslab.ru/article/965691",https://sun9-35.userapi.com/c205824/v205824141/107485/pwv9iBBNjs4.jpg
41,"⚡ 666 — столько заболевших коронавирусом теперь в Красноярском крае. 

57 новых заболевших добавилось за последние сутки. Ряды выздоровевших не пополнились, их по-прежнему 74. Бессимптомно болезнь протекает в 223 случаях, лёгкая степень – 251, средняя - 167, тяжёлая в 25 случаях. Еще 1 человек с коронавирусом в регионе скончался.

На карантине продолжают оставаться 1 680 человек. 

📍Что касается распределения новых случаев по муниципальным образованиям края:

В Красноярске - 38, Емельяновском районе - 6, Курагинском районе и ЭМР - по 4 случая, Дивногорске - 2 и по одному случаю в Минусинске, Березовском и Уярском районах.

По России +7 099 новых случаев (это суточный рекорд). Итого — 106 498. Из них 1 073 пациента скончались (+103), а 11 619 (+1 333) — выздоровели.",https://sun1-16.userapi.com/ubJ29wHI_u9z8leMBkz0OPYjpKA3mqfvuI3wZg/5QEzfHdrnb4.jpg
43,"А тем временем в Германии врачи решили устроить необычную акцию протеста 😷

Из-за отсутствия защитных масок медицинский персонал массово стал публиковать в социальных сетях фотографии без одежды. 

Что тогда нужно сделать нашим докторам, которые в некоторых городах страны вынуждены стирать одноразовые защитные костюмы и использовать их заново — даже представить страшно.",https://sun1-17.userapi.com/0Ir50ZfSHM_hwX6ubsh5WoiBxMH29pDb1woVWQ/kUW45VyiADM.jpg
13,"❗Перекрытие Северного шоссе в Красноярске продлено

Ранее планировалось полностью открыть участок 24 апреля, но сроки были сдвинуты, новая дата прекращения работ — 10 мая. Сроки сдвинулись из-за задержки с получением лотков для укладки труб от завода-поставщика.

Напомним, там проводятся работы по переносу участка теплотрассы протяженностью 460 метров в строящийся район «Солонцы-2». 

После этого городские службы смогут приступить к строительству виадука из нового микрорайона в основную часть города. Срок окончания всех работ пока остается прежним — новый трубопровод нужно смонтировать к началу июня.",https://sun1-22.userapi.com/tQ-yBdfpTW3LLLPkgF474cGgNPCFLfDvH7iXaA/9Jk038h-lsU.jpg
27,"Шикарная новость: Минфин вчера предложил разрешить до конца 2020 производить госзакупки у одного поставщика 

Соответствующий проект уже даже был внесен на рассмотрение в правительство. Под такие упрощения попадут закупки, необходимые для того, чтобы исполнять решения по борьбе с коронавирусом. 

Кто-то, видимо, решил озолотиться даже в такое время ¯\_(ツ)_/¯",https://sun1-92.userapi.com/6JwCG1XfBU97E2VCb_kesokVbQIgAsF8MqxTdQ/2O8-P79Sn9U.jpg
51,"«В 12 лет я стирала бинты умирающих солдат»: рассказ семьи красноярцев о жизни в годы войны

Семья Каликулиных всю жизнь прожила в Красноярске и скоро отметит свой 70-летний юбилей брака. На долю обоих выпало немало испытаний — на фронте и в тылу. Но они никогда не опускали руки и не жаловались на судьбу. 

Об удивительной стойкости красноярцев в беспощадные годы Великой Отечественной войны — читайте в нашем новом специальном материале.

📍О женихе в арбузной корке, лишениях и большой любви: https://newslab.ru/article/965102",https://sun1-47.userapi.com/5eRhylmZTtgmLgJDwkILQtrMJZg3mea9_6JG1Q/kIvcmb0_M30.jpg
51,"В Тюмени врачей за их работу отблагодарили очень крутым стрит-артом 

Неравнодушные местные художники решили выразить свою благодарность прямо на стене общежития Тюменского медуниверситета, куда выходят окна Областной клинической больницы №1

Действительно здорово",https://sun1-17.userapi.com/HdfrZhkm2unHcn0s5OE7AIWRsJevG9rWDJWxdA/fa1NABNWZiU.jpg
129,"Просто неописуемой красоты рассвет над Красноярском 🌞

Хотя не закончился еще даже апрель, создается ощущение, что лето уже пришло, такие рассветы — тому в подтверждение. 

Доброе утро, друзья! Отличного вам дня!

Фото: Александр Черных",https://sun9-43.userapi.com/c858032/v858032743/1e1190/eNsl-2xs25o.jpg
11,"⚡ Коронавирус можно не лечить, если болезнь протекает без симптомов. По крайней мере, так считает Минздрав

Завершаем день итоговой сводкой по миру / России:
Заболевших — 3 158 367 (+15 522) / 99 399 (+5 841)
Выздоровевших —  971 195 (+11 431) / 10 286 (+1 830)
Погибших — 218.509 (+697) / 972 (+108)

На карантине в Красноярском крае — 1 739 

Последние важные новости: 
🦠Красноярцы снова массово нарушают самоизоляцию: индекс города сегодня впервые опустился до 1,6
🦠Число заболевших коронавирусом медиков в России растет, в списке погибших более 70 фамилий
🦠Прирост заражений в России значительно снизился, но на плато пока не вышли, ожидаем перелома ситуации в ближайшие дни - эпидемиолог Минздрава
🦠Один инфицированный коронавирусом может заразить от двух до четырех человек - главный внештатный эпидемиолог Минздрава РФ
🦠Опрос показал, что почти две трети россиян готовы сделать бесплатную прививку от коронавируса 
🦠Мишустин поручил к 25 мая подготовить общенациональный план восстановления занятости и экономики
🦠""Аэрофлот"" подтвердил, что будет выдавать пассажирам ваучеры вместо денег за отмененные рейсы.
🦠Пока нельзя назвать точную дату, когда могут быть сняты ограничения по коронавирусу, включая открытие границ — Мишустин
🦠В Турции опровергли информацию, что отели могут отказаться от концепции ""все включено""
🦠Около 45% заболевших Сovid-19 за сутки не имеет симптомов

Обсудить всю ситуацию, кстати, по-прежнему приглашаем в нашу беседу: https://vk.cc/asSjXa",https://sun1-29.userapi.com/HYo2v7Oq9dx9CIGmVfzixsETCy0lAZNb6JKeyA/VyjkANAoCoM.jpg
99,"Гроза решила не дожидаться начала мая и дать о себе знать в конце апреля ⚡️

Соскучились по дождичку?",none
24,"🔥 Пьяный красноярец хотел спасти город от клещей, а устроил пожар

Особой находчивостью вчера отметился мужчина в СНТ «Здоровье», вечером местные заметили, как он пытается поджечь сухую траву близ дачных участков. На вопросы о том, зачем он это делает, явно пьяный красноярец ответил что-то вроде «хочу выжечь клеща». 

Итог всего этого — пожар на площади 500 кв.м. Как рассказали очевидцы, днем ранее он устраивал ту же акцию против клещей на своем участке и чуть не спалил дома соседей. Его уже передали полиции. 

📍Но наш край богат умными людьми, поэтому есть и еще один потрясающий случай: 

В Ермаковском районе Красноярского края задержали 49-летнего мужчину, который нечаянно устроил пожар на площади в 490 гектаров. 

Он разжег костёр, чтобы растопить смолу, но огонь вышел из-под контроля.",https://sun1-97.userapi.com/x3_5KSeodTEdsdW6S9aH6tzZMuLWiekBwvtKyQ/09G3KMapnA0.jpg
